title,image_url,video_url,instructions,teaching_points,position,starting_zone,ending_zone,situation,hockey_skills,complexity
INDIVIDUAL TACTICS – 1 ON 1 – POINT SHOT – NET FRONT,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/individual_tactics_1_on_1_point_shot_net_front.jpg?w=640&h=360&c=2&f=ffffff&q=60,https://www.hockeycanada.ca/en-ca/videos?title=individual-tactics-1-on-1-point-shot-net-front,"Skaters in one corner, D at blue line on opposite side, pucks
    in opposite corner with coach; On coaches’ signal, starts as a 1 on 1 out of the corner, after
    the first shot, the offensive player sprints to far corner to
    pick up a second puck and passes it to the D man on the blue
    line and then heads to the net.; D shoots through screen or shoots for tip; After D shot, net front player must get open to receive pass
    from coach for third shot","Creativity by fwd, stay on defensive side by D; Fwd create gap, D reduce gap – stick on puck","['Forward', 'Defence']",Unknown,Unknown,['Offensive Play'],"['Shooting', 'Passing', 'Positioning', 'Timing']",Intermediate
INDIVIDUAL TACTICS – 3 PUCK NET DRIVE – 1 ON 1,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/individual_tactics_3_puck_net_drive_1_on_1.jpg?w=640&h=360&c=2&f=ffffff&q=60,https://www.hockeycanada.ca/en-ca/videos?title=checking-skills-1-balance-agility-evasive-skating,"Players start on face off dot in corner circle. Pucks in the
    corner.; On coaches’ signal, player in corner spots puck. Offensive
    player from corner has to retrieve the puck and try to take it
    to the net.; Defensive player has to prevent the player from getting to
    the net.; Offensive player repeat 2 more times for 3 1 on 1 plays.","Quick feet; Fake before picking up puck; Drive to net, puck protection; Defender, stick on puck, stay on defensive side",[],Unknown,Unknown,"['Offensive Play', 'Defensive Play', 'Small Area Game']","['Skating', 'Stickhandling', 'Positioning']",Intermediate
INDIVIDUAL TACTICS – BREAKOUT 1 ON 1 – D JUMP FORWARD,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/individual_tactics_breakout_1_on_1_D_jump_forward.jpg?w=640&h=360&c=2&f=ffffff&q=60,,"Gap drill. Forward dumps pucks and defenseman retrieves
    and breaks out the forward. Forward up ice and turns back
    for a 1-1. Defenseman must close gap and play the 1-1.
    Coaches encourage D challenge in the neutral zone and
    “jump” the forward.","Forwards want to hustle up ice and create some space to
    attack. Use good individual tactics to challenge the defenseman; Defensemen need to gap up and decide - close the gap and
    “jump” the forward before they get turned or defend the
    middle of the ice and pivot and contain. This may depend on
    each situation and on team philosophy.","['Defence', 'Forward']",Neutral Zone,Neutral Zone,"['Breakout', 'Transition']","['Skating', 'Positioning', 'Angling']",Intermediate
INDIVIDUAL TACTICS – BREAKOUT 1 ON 1,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/individual_tactics_breakout_1_on_1.jpg?w=640&h=360&c=2&f=ffffff&q=60,,"Gap drill. Forward dumps pucks and defenseman retrieves
    and breaks out the forward. Forward up ice and turns back
    for a 1-1. Defenseman must close gap and play the 1-1.
    Coaches need to decide if players will challenge in the neutral
    zone and “jump” the forward or be passive, pivot and
    defend the middle of the ice. Pressure or contain","Forwards want to hustle up ice and create some space to
    attack. Use good individual tactics to challenge the defenseman; Defensemen need to gap up and decide do I close the gap
    and “jump” the forward before they get turned or do I
    defend the middle of the ice and pivot and contain. This may
    depend on each situation and on team philosophy.","['Forward', 'Defence']",Unknown,Unknown,['Breakout'],"['Skating', 'Positioning', 'Angling']",Intermediate
INDIVIDUAL TACTICS – INSIDE / OUTSIDE MOVE,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/individual_tactics_inside_outside_move.jpg?w=640&h=360&c=2&f=ffffff&q=60,,"Gap and angling drill in neutral zone. Defenseman leaves
    goal line and forward from far blue line.; Forward has advantage with time and space – use speed to
    make outside / inside or inside / outside moves","Move feet, gather speed; Use space given; Quick “setup” move then payoff","['Defence', 'Forward']",Neutral Zone,Neutral Zone,['Transition'],"['Skating', 'Angling']",Intermediate
TEAM TACTICS – SKATE PASS SHOOT – REGROUP,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/individual_tactics_skate_pass_shoot_regroup.jpg?w=640&h=360&c=2&f=ffffff&q=60,,"Player line up along boards on blue line. Place a pylon near
    the top of the circle in the offensive zone and another one
    on the red line near the edge of the centre circle. Coaches
    along boards at far blue line; First player in line backpeddles, receives pass, pivots at
    pylon then skates forward and passes to coach on same side
    blue line.; Player transitions and receives quick up pass from coach
    and drives net for shot. Stop after shot, and then sprint to
    corner for second puck, skate back around pylon in offensive
    zone and take second shot on net; Progression – can 1 touch passes to start drill and with
    coach","Present stick as target; Smooth transition on regroup, open up to coach; Accelerate after receiving pass",[],Offensive Zone,Offensive Zone,['Transition'],"['Skating', 'Passing', 'Shooting']",Intermediate
PASSING – PASS AND MOVE #1,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/passing_pass_and_move_1.jpg?w=640&h=360&c=2&f=ffffff&q=60,,"Players start in corner with puck, receiving player starts on
    hash marks; Player sprints to face off dot, receives pass, 1 touches it
    back, sprints back to hashmark, receives pass and 1 touches
    it back, skate around top of circle and receives third pass for
    shot on net","Quick feet, present stick as target; Soft hands to receive pass and 1 touch back",[],Unknown,Unknown,[],"['Passing', 'Skating', 'Shooting', 'Stickhandling']",Intermediate
PASSING – PASS AND MOVE #2,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/passing_pass_and_move_2.jpg?w=640&h=360&c=2&f=ffffff&q=60,,"Players start in corner with puck, receiving players starts on
    hash marks; Player on hashmarks sprints to dot, player in corner sprints
    up to hashmark and passes to player on dot, who one
    touches it back. Players skate back to original position and
    1 touch pass again.; Player from hashmarks then sprints around top of circle to
    receive pass and takes shot on net","Quick feet, present stick as target; Soft hands to receive pass and 1 touch back",[],Unknown,Unknown,[],"['Passing', 'Skating']",Intermediate
PASSING – PASS AND MOVE #3,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/passing_pass_and_move_3.jpg?w=640&h=360&c=2&f=ffffff&q=60,,"Players start in corner with puck, D out at blue line; 1 touch back and forth, then player from corner skates
    behind net, D skate to mid ice for shot on net.; Shoot to score, shoot for sticks or shot pass for back door
    option","Quick feet, present stick as target; Soft hands to receive pass and 1 touch back; D head up on point shot","['Forward', 'Defence']",Unknown,Unknown,['Offensive Play'],"['Passing', 'Shooting', 'Skating', 'Positioning']",Intermediate
PUCK CONTROL – CIRCLE CHAOS #2,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/puck_control_circle_chaos_2.jpg?w=640&h=360&c=2&f=ffffff&q=60,,"Players in both end zone circles with pucks; Players skate around the circle handling the puck, using
    quick hands and quick moves to avoid other players; On coaches’ signal, players switch circles and then skate
    around circle handling the puck and trying to knock the puck
    off of the other players’ stick.; Once a puck is knocked off the stick that player is out of the
    circle; Go until there is only one player left with a puck on the stick","Quick hands, eyes up; Puck protection, poke checks",[],Unknown,Unknown,['Small Area Game'],['Stickhandling'],Intermediate
PUCK CONTROL – CIRCLE CHAOS,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/puck_control_circle_chaos.jpg?w=640&h=360&c=2&f=ffffff&q=60,,"Players in circle with pucks; On coaches’ signal, players skate around circle handling the
    puck and trying to knock the puck off of the other players’
    stick.; Once a puck is knocked off the stick that player is out of the
    circle; Go until there is only one player left with a puck on the stick","Quick hands, eyes up; Puck protection, poke checks",[],Unknown,Unknown,[],['Stickhandling'],Intermediate
PUCK CONTROL – CORNER NET DRIVE - PROGRESSION #1 – SHOOT IN STRIDE,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/puck_control_corner_net_drive_progression_1_shoot_in_stride.jpg?w=640&h=360&c=2&f=ffffff&q=60,,"Players start in corner with puck. Drive hard around top
    of circle, keeping feet moving the entire time and shoot in
    stride without gliding.",Keep the feet moving; Players keep their head up when shooting,[],Offensive Zone,Offensive Zone,[],"['Skating', 'Shooting']",Intermediate
PUCK CONTROL – CORNER NET DRIVE – PROGRESSION #2 – DOUBLE DELAY,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/puck_control_corner_net_drive_progression_2_double_delay.jpg?w=640&h=360&c=2&f=ffffff&q=60,,"Players start in corner with puck. Drive hard around top
    of circle, perform a tight turn and delay back towards the
    corner, perform another tight turn and skate in the original
    direction towards the net finishing with a shot.",Keep the feet moving; Protect puck on the delays; Players keep their head up when shooting,[],Offensive Zone,Offensive Zone,['Offensive Play'],"['Skating', 'Stickhandling', 'Shooting']",Intermediate
PUCK CONTROL – CORNER NET DRIVE – PROGRESSION #3 – OPEN UP TO BACKHAND,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/puck_control_corner_net_drive_progression_3_open_up_to_backhand.jpg?w=640&h=360&c=2&f=ffffff&q=60,,"Players start in corner with puck. Drive hard around top of
    circle, keeping feet moving the entire time.; As the coach puts pressure on the puck, open up to the backhand
    or forehand to protect the puck so a shot can be taken
    on net",Keep the feet moving; Players keep their head up; Open up ( heel to heel ) to protect puck,[],Unknown,Unknown,['Offensive Play'],"['Skating', 'Stickhandling']",Intermediate
PUCK CONTROL – CORNER NET DRIVE – PROGRESSION #4 – DELAY LOW DRIVE,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/puck_control_corner_net_drive_progression_4_delay_low_drive.jpg?w=640&h=360&c=2&f=ffffff&q=60,,"Players start in corner with puck. Drive hard around top
    of circle, perform a tight turn and delay back towards the
    corner.; Attack net with speed with low drive","Keep the feet moving, attack the net; Protect puck on the delay; Players keep their head up",[],Offensive Zone,Offensive Zone,['Offensive Play'],"['Skating', 'Stickhandling']",Intermediate
PUCK CONTROL – PUCK CONTROL WARM UP – TAG GAME,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/puck_control_puck_control_warm_up_tag_game.jpg?w=640&h=360&c=2&f=ffffff&q=60,,"Players line up outside blue line on both sides of the ice; On coaches’ signal, 3 players go at a time, each one with a
    puck.; One player skating backwards the entire time and other two
    skating forward trying to knock the puck off the stick of the
    backward skater.; If puck gets knocked off stick, the person that knocked it off
    then becomes the backwards skater and a new player jumps
    in. The person that got the puck knocked off the stick is out","Quick hands, quick feet; Keep moving, be deceptive and agile",[],All Zones,All Zones,['Small Area Game'],"['Skating', 'Stickhandling']",Intermediate
PUCK CONTROL – PUCK PROTECTION – 1 ON 1,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/puck_control_puck_protection_1_on_1.jpg?w=640&h=360&c=2&f=ffffff&q=60,,"Players start in corner with puck. Offensive player drives
    hard around top of circle. Defensive player stays on defensive
    side and tries to prevent puck carrier getting to the net.
    Offensive player can perform tight turns and delays to shake
    the defender.; Defender keeps “stick on puck“; Progression can be to add a pass from the corner after the 1
    on 1 for a second shot on net",Keep the feet moving; Protect puck on the delays; Stick on puck,"['Forward', 'Defence']",Offensive Zone,Offensive Zone,['Offensive Play'],"['Skating', 'Stickhandling']",Intermediate
PUCK CONTROL – PUCK PROTECTION PROGRESSION #1,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/puck_control_puck_protection_progression_1_attack_triangle.jpg?w=640&h=360&c=2&f=ffffff&q=60,,"Place players in groups of 2, place 2 pylons 20 – 25 feet
    apart as shown.; Players will go around pylons and then attack the stationary
    player that is standing in the middle while protecting the
    puck.; Protect the puck on the forehand and the backhand","Deep knee bend for balance and ability to reach and protect
    the puck; Attack, move the puck laterally, then up ice; Protect the puck as you go around the stationary player.
    Start by using arm and leg and progress to turning your back
    to the” checker”; Players may need to slide their bottom hand up the shaft to
    reach and separate from the “checker”; Have players keep both feet on ice on tight turns around
    pylons",[],Unknown,Unknown,[],['Stickhandling'],Intermediate
PUCK CONTROL – PUCK PROTECTION PROGRESSIONS #2,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/puck_control_puck_protection_progression_2_attack_triangle.jpg?w=640&h=360&c=2&f=ffffff&q=60,,"Place players in groups of 2, place 2 pylons 20 – 25 feet
    apart as shown.; Players will go around pylons and then attack the stationary
    player by sliding the puck through the attack triangle, first
    on forehand then on backhand","Forehand: skate at stationary player, fake and then slide
    puck between feet and stick. The puck should go parallel to
    the “checkers” feet. Players can slide hand up to make going
    over defenders stick easier; Backhand: skate at a stationary player, pull across the front
    of defenders stick then “backhand tap” the puck through the
    triangle",[],Unknown,Unknown,[],['Stickhandling'],Intermediate
PUCK CONTROL – PUCK PROTECTION SEQUENCE #1 – FH – BH WIDE,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/puck_control_puck_protection_sequence_1_FH_BH_wide.jpg?w=640&h=360&c=2&f=ffffff&q=60,,"Players approach “inside out” from the blue line and attack
    the obstacle which simulates a defender. Players do an open
    “Crosby” and then attack; Players approach the “defender” with speed, head up, puck
    under control with the goal of getting a shot on the net. In
    a game the attacker would read the defender. In these drills,
    the attacker can practice a variety of 1-1 attack tactics on a
    stationary obstacle","Players approach with speed fake forehand and do a 360
    spin on backhand.; Fake and then get puck on backhand and spin. Keep your
    speed and don’t “dig in” to the ice.; Get your head up and see the ice.",[],Unknown,Unknown,[],['Stickhandling'],Intermediate
PUCK CONTROL – PUCK PROTECTION SEQUENCE #2 – NO STICKHANDLE,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/puck_control_puck_protection_sequence_2_no_stickhandle.jpg?w=640&h=360&c=2&f=ffffff&q=60,,"Players move down ice around stick shafts and shoot on
    goal.","Players keep their head up. The stick shafts simulate defends
    and players must attack them.; Players need to move laterally to get around a poke check,
    then move up ice. There needs to be separation from the
    defender. Players should reach laterally and get hands at the
    top of the stick to extend their reach.",[],Unknown,Unknown,['Offensive Play'],"['Skating', 'Shooting', 'Stickhandling']",Intermediate
PUCK CONTROL – PUCK PROTECTION SEQUENCE #3 – FAST HANDS WIDE,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/puck_control_puck_protection_sequence_3_fast_hands_wide.jpg?w=640&h=360&c=2&f=ffffff&q=60,,"Players move down ice around stick shafts and shoot on
    goal. Players now “protect the puck”","Players keep their head up. The stick shafts simulate defends
    and players must attack them.; Players need to move laterally to get around a poke check,
    then move up ice. There needs to be separation from the
    defender. Players should reach laterally and get hands at
    the top of the stick to extend their reach. Players protect
    the puck by either using arm and leg or turning back to the
    “defender”",[],Unknown,Unknown,[],['Stickhandling'],Intermediate
PUCK CONTROL – PUCK PROTECTION SEQUENCE #4 – TOE DRAG SHOT,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/puck_control_puck_protection_sequence_4_toe_drag_shot.jpg?w=640&h=360&c=2&f=ffffff&q=60,,"Players move down ice around stick shafts and shoot on
    goal.","Players keep their head up. The stick shafts simulate defenders
    and players must attack them.; Players need to move laterally to get around a poke check,
    then move up ice. There needs to be separation from the
    defender. Players should reach laterally and get hands at
    the top of the stick to extend their reach. Players protect
    the puck by either using arm and leg or turning back to the
    “defender” and finish with a toe drag on the last stick before
    the shot.",[],Unknown,Unknown,['Offensive Play'],"['Stickhandling', 'Shooting']",Intermediate
PUCK CONTROL – PUCK PROTECTION X 3,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/puck_control_puck_protection_x3.jpg?w=640&h=360&c=2&f=ffffff&q=60,,"Players in each corner, one player on dot in middle of faceoff
    circle, 3 pylons on the circle; top, bottom and hashmarks
    closest to boards; On coaches’ signal player with puck has to skate towards
    player in middle and protect puck when going around him,
    skate to any of the three pylons, tight turn around it and
    then attack player in middle protecting the puck each time; Do the same for all three pylons, then go in for shot on net; Run out of both corners, but delay starting time so goalie
    has a chance to get set for shots","Good puck protection, use body, knee, arm to protect puck; Quick feet, move puck to safe area so it can’t be poke
    checked",[],Unknown,Unknown,[],"['Skating', 'Stickhandling']",Intermediate
PUCK CONTROL – HANDS – SAUCER SEQUENCE,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/puck_control_quick_hands_saucer_sequence.jpg?w=640&h=360&c=2&f=ffffff&q=60,,"Deep knee bend for balance and obstacles are close together
    to develop quick hands; Attack the stick shafts on the ice by chipping the puck over
    the stick shaft on the ice. Chip the puck up and have it land
    where you can pick it up and continue attack.; Then attack the stationary player: vary this by going wide or
    attacking the triangle of the defender","Fake one way and pull the puck then chip it up and over the
    shaft. Chip the puck softly as to be able to pick it up; Practice both forehand, where the puck is pulled and comes
    off the toe and backhand chips where the puck is pulled and
    comes off the heel; Have a deep knee bend and a wide base",[],Unknown,Unknown,[],['Stickhandling'],Intermediate
PUCK CONTROL – QUICK HANDS SEQUENCE,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/puck_control_quick_hands_sequence.jpg?w=640&h=360&c=2&f=ffffff&q=60,,"Deep knee bend for balance and obstacles are close together
    to develop quick hands; Attack the stick shafts on the ice by using whatever you
    wish; use your imagination: toe drags, 360, pushes, separation,
    etc.; Then attack the stationary player",Use proper technique in the selected moves,[],Unknown,Unknown,[],['Stickhandling'],Intermediate
PUCK CONTROL – TOE DRAG OBSTACLES,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/puck_control_toe_drag_obstacles.jpg?w=640&h=360&c=2&f=ffffff&q=60,,"Deep knee bend for balance and obstacles are close together
    to develop quick hands; Attack the stick shafts on the ice by using a toe drag and
    pulling the puck to the forehand: the puck does not touch
    the back of the blade on these drags; Then attack the stationary player: vary this by going wide or
    attacking the triangle of the defender","This move is done by keeping the puck on the forehand. A
    long drag of the puck; Pull the puck into the body to the front of the blade and
    then play on the forehand; Reach and then pull sliding your bottom hand up the shaft of
    the stick",[],Unknown,Unknown,[],['Stickhandling'],Intermediate
PUCK CONTROL – WARM UP - PUCK PROTECTION SKILLS,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/puck_control_warm_up_puck_protection_skills.jpg?w=640&h=360&c=2&f=ffffff&q=60,,"Players line up in one end at the hash marks; Perform puck handling skills that are key to puck protection
    down the middle of the ice and back along the boards; Fast hands, toe up; Narrow / wide; Open up to backhand; Puck first then feet; Heel to heel; Random moves","Do at a pace where the players can perform the skills properly; Move the puck side to side as fast as possible and as close to
    the feet as possible; Move puck before feet",[],Unknown,Unknown,[],['Stickhandling'],Intermediate
SCORING – O–ZONE PLAY – ATTACK OPTIONS,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/scoring_0zone_play_attack_options.jpg?w=640&h=360&c=2&f=ffffff&q=60,,"Place 2 D along the blue line, forwards in the corner with
    pucks; Fwd skates behind net and up to hash marks, delays and
    turns back towards corner, performs another delay and turns
    up the wall and then attacks the net; After shot, fwd receives a pass from the coach behind the
    net, passes up to strong side D. D then passes D to D for shot
    on net.; Forward goes to net after passing to look for tip or rebound","Quick feet on the delays, drive hard to net; Be an option below goal line then quick pass up high to D; D quick D to D pass, head up on shot","['Forward', 'Defence']",Unknown,Unknown,['Offensive Play'],"['Skating', 'Passing', 'Shooting', 'Positioning']",Intermediate
