segment_number,title,video_url,source,start_time,end_time,summary,teaching_points,visual_prompt,hockey_skills,position,complexity,clip_type,intended_audience,play_or_skill_focus,duration,transcript
2,iTrain Hockey Transitional Skating Training Intensive,https://www.youtube.com/watch?v=w463Qj7inZQ?t=35,iTrain Hockey,35.2,61.84,"The drill focuses on quick, dynamic footwork transitions with pronounced stops to enhance agility and control on the ice.","['Use quick, alternating steps to simulate being on one foot at a time.', 'Emphasize a pronounced, loud stop at the end of each step.', 'The sequence involves stepping, pushing off, and maintaining balance.']","A player demonstrating quick alternating steps with pronounced stops, focusing on balance and agility.","['Transitional Skating', 'Stopping', 'Balance']",,Intermediate,Drill Explanation,Intermediate Player,Transitional Skating,26.64,"I tell them to do it with really quick steps, almost as if you're on one foot and the other foot and the other foot. You're almost on one foot the entire time. But with each one, the stop at the end should be really pronounced or should be a loud stop as opposed to just a step like this. So anyways, the drill is step, step push, push off the step."
3,iTrain Hockey Transitional Skating Training Intensive,https://www.youtube.com/watch?v=w463Qj7inZQ?t=61,iTrain Hockey,61.84,90.28,"The video segment focuses on transitional skating techniques, emphasizing the importance of effectively pushing through crossovers rather than merely stepping. The key idea is to use a spring-like action to transition smoothly and maintain momentum during stops and starts.","[""Emphasize a 'spring' motion instead of a stop to maintain momentum."", 'Focus on pushing through crossovers, not just stepping.', 'Practice repeated pushes followed by a controlled stop.']","Show a skater transitioning from a stop by explosively pushing forward, highlighting the spring action and crossover pushes.","['Transitional Skating', 'Crossovers', 'Stopping']",,Intermediate,Drill Explanation,Youth Players,Transitional Skating,28.44,"So with each of the kids, I tell them your main focus is it's not a stop, but it's a spring. So spring out of the stop and start. And with each one, we also emphasize with the kids, don't just step through the crossovers, but in fact they're pushes. So push, push, and then stop. Push, push, push, push, push, push, push, push, push, push, push, stop, stop. So one last point is with the stop."
4,iTrain Hockey Transitional Skating Training Intensive,https://www.youtube.com/watch?v=w463Qj7inZQ?t=90,iTrain Hockey,90.28,112.36,"The focus is on improving transition skating by combining stops and starts with backward crossovers. Emphasizing that stopping and starting is a continuous motion, not separate actions, encourages smooth transitions and quick directional changes.","['Stop and start as a single fluid motion.', 'Spring out immediately after stopping.', 'Integrate backward crossovers into stops and starts.']","A skater demonstrating a transition by quickly stopping, starting, and transitioning into a backward crossover.","['Stop and Start', 'Backward Crossovers', 'Transitional Skating']",,Intermediate,Drill Explanation,Intermediate Skater,Transitional Skating,22.08,"I tell them it's not a stop and a start, two things, but it's a stop and start is one thing. So stop and start and then spring out from that and then continue the drill. The next drill is very similar to the last one, stops and starts, but now it stops and starts with the backwards crossover. So the only difference is the same thing that we're doing before, but through the stop,"
5,iTrain Hockey Transitional Skating Training Intensive,https://www.youtube.com/watch?v=w463Qj7inZQ?t=112,iTrain Hockey,112.36,138.0,"Focus on improving transitional skating by combining stops with seat cuts, creating fluid movement without pauses. Emphasize seamless transitioning from stops to starts with a seat cut technique integrated into the motion.","['Combine stops with seat cuts for fluid transitions.', 'Avoid separating the stop and start actions; they should be seamless.', 'Use the momentum from the stop to transition into a seat cut immediately.']","Show a skater executing a stop quickly transitioning into a seat cut, highlighting smooth, continuous motion.","['Transitional Skating', 'Stop and Start']",,Intermediate,Drill Explanation,Intermediate Skaters,Transitional Skating,25.64,"the stop turns into a seat cut and then your other leg gets out. So same drill that we were doing before, push, push, stop, and just very similar to like the last drill. We didn't focus on doing a stop and a start, two things. We did one thing where it was a stop and start. So the stop should actually be a stop and then without any separation, turn into a seat"
6,iTrain Hockey Transitional Skating Training Intensive,https://www.youtube.com/watch?v=w463Qj7inZQ?t=138,iTrain Hockey,138.0,167.28,"The drill focuses on seamless transition from a stop to a backward outside edge kick, emphasizing fluidity and control on ice.","['Perform a stop on the ice with no delay.', 'Execute a seamless transition to a backward outside edge kick.', 'Focus on maintaining control and balance throughout the movement.']","A player performing a stop followed immediately by a backward outside edge kick, showing the ice markings and foot positioning.","['Backward Skating', 'Edge Work', 'Stops and Starts']",,Intermediate,Drill Explanation,Intermediate Players,Transitional Skating,29.28,"cut and then turn into a backward or outside edge backwards kick. So this is the drill. So if you look at the ice, I like looking at the ice, right? So once you look at the ice, got a nice, nice and thick, nice and white stop and then there's no separation between that stop and then the seat cut and then really quickly, a nice and white outside edge kick."
7,iTrain Hockey Transitional Skating Training Intensive,https://www.youtube.com/watch?v=w463Qj7inZQ?t=167,iTrain Hockey,167.28,191.0,The focus is on enhancing transitional skating by practicing strong stops and smooth pivots from forward to backward skating and vice versa.,"['Emphasize strong push from both legs during skating.', 'Execute long and thick stops with the whole blade on the ice.', 'Perform quick and loud seat cut kicks.', 'Practice forwards to backwards and backwards to forwards transitions.', 'Use the neutral zone for pivot drills between blue lines.']",A player demonstrating a powerful stop with a full blade on the ice and transitioning smoothly between forward and backward skating.,"['Transitional Skating', 'Stopping', 'Pivoting']",,Intermediate,Drill Explanation,Intermediate Skaters,Transitional Skating,23.72,"So you're getting both legs, good, strong push from both, but again, the main emphasis, nice really long and thick stop where your whole blade is on the ice and then pull, like a quick little seat cut kick, nice and loud and again very pronounced. So a next drill, very basic drill, forwards to backwards to forwards, in between the neutral zone, between the blue lines, we're pivoting the backwards."
8,iTrain Hockey Transitional Skating Training Intensive,https://www.youtube.com/watch?v=w463Qj7inZQ?t=191,iTrain Hockey,191.0,214.72,"The video segment emphasizes the importance of seamless transitions when pivoting between skating forwards and backwards, highlighting techniques used by elite players like Ovechkin and Crosby.","['Enter the pivot with maximum speed.', 'Focus on eliminating any pause during the transition from forwards to backwards.', 'Smoothly shift back to forwards skating at the far blue line.']","Show a player skating towards a blue line, pivoting smoothly without pause, then transitioning back at the next blue line.","['Transitional Skating', 'Pivots', 'Forward Skating', 'Backward Skating']",,Intermediate,Demonstration,Intermediate Skater,Transitional Skating,23.72,"So start forwards, enter into the pivot with as much speed as you possibly can. Once you hit the first blue line, the main thing is to focus on no pause in the step. So a Vetchkin Crosby, these guys are really, really good strong skaters. When they pivot to backwards, there's no pause in their step. It's just immediately from forwards, immediately into backwards and then at the far blue line, we'll just pivot right back to forwards."
9,iTrain Hockey Transitional Skating Training Intensive,https://www.youtube.com/watch?v=w463Qj7inZQ?t=214,iTrain Hockey,214.72,238.92000000000002,"The video focuses on smooth transitions from forward to backward skating without losing speed. It emphasizes avoiding a stopping sound or stepping into transitions, which can slow skaters down.","['Avoid making a stopping noise during transitions.', 'Do not step into the transition, which slows you down.', 'Focus on propelling yourself smoothly from forwards to backwards.']","A skater moves smoothly from forwards to backwards without a stopping noise or stepping action, maintaining speed.","['Transitional Skating', 'Forward Skating', 'Backward Skating']",,Intermediate,Drill Explanation,Intermediate Skaters,Transitional Skating,24.2,"So check it out. The first blue line, the main focus going from forwards to backwards is you don't want to make a stopping sound like that. A stopping sound is obviously going to slow you down as opposed to speeding you up. You also don't want to step into it, so listen to my feet. You don't want to just step into it, but instead, you want to propel ourselves into it."
10,iTrain Hockey Transitional Skating Training Intensive,https://www.youtube.com/watch?v=w463Qj7inZQ?t=238,iTrain Hockey,238.92000000000002,262.88,"This video segment focuses on transitional skating, emphasizing the transition between forward and backward skating. It highlights the importance of maintaining movement through pivots and transitions.","['Practice forward seat cut, pushing off the heel.', 'Focus on propelling into a backward direction smoothly.', 'While transitioning at the blue line, keep feet moving.', 'During the backward to forward pivot, glide on one foot.']","Image of a skater performing a backward to forward transition, showing a smooth glide on one foot.","['Transitional Skating', 'Backward Crossover', 'Forward Skating']",,Intermediate,Drill Explanation,Intermediate Skaters,Transitional Skating,23.96,"So everyone knows how to do, it's like forward seat cut pushing off on the heel. So that's literally what we're doing and then you're propaling yourself into a backwards problem. So when we're pivoting from backwards back into forwards at the far blue line, the main focus is just to keep your feet moving and through the transition. So going from your backwards crossover into your forwards, we sort of glide on one foot,"
11,iTrain Hockey Transitional Skating Training Intensive,https://www.youtube.com/watch?v=w463Qj7inZQ?t=262,iTrain Hockey,262.88,295.23999999999995,"This segment explains foot positioning and movements during transitional skating, emphasizing a deep push followed by explosive forward strides. The drill reverses previous movements, starting backward then transitioning forward.","['Turn your foot for a deep push.', 'Explode out with strong, aggressive strides.', 'Listen to the sound of the skates to gauge effectiveness.', 'Practice the backward to forward transition.']",Show a player transitioning from backward to forward skating with emphasis on footwork and explosive strides.,"['Transitional Skating', 'Acceleration', 'Striding']",,Intermediate,Drill Explanation,Intermediate Player,Transition Skating,32.36,"turn your foot, make a deep push, and then immediately out of the deep push, you just explode out with really strong aggressive forward strides. So actually listen to my skates when I pivot to forwards. Okay, so the next part of this drill is just simply the inverse of the last drill that we did. So again, we started forwards to backwards forwards last time, and then we just start backwards."
12,iTrain Hockey Transitional Skating Training Intensive,https://www.youtube.com/watch?v=w463Qj7inZQ?t=295,iTrain Hockey,295.23999999999995,313.24,"This segment focuses on transitional skating, emphasizing speed and smooth pivots between forward and backward skating starting from the blue line.","['Emphasize speed during forward skating from the blue line.', 'Smoothly pivot to backwards skating at the far blue line.']","Show a player accelerating forward from the blue line, reaching the far blue line, and pivoting smoothly to skate backward.","['Transitional Skating', 'Pivots']",,Intermediate,Drill Explanation,Intermediate Skaters,Transitional Skating,18.0,"So we start backwards at the blue line focusing on doing as much speed as you can going forward to the far blue and then pivot again to backwards. The main focus is from here, so don't have the player start with just sort of basic see-cites or start forwards and then through the to backwards, but we want to see them go"
13,iTrain Hockey Transitional Skating Training Intensive,https://www.youtube.com/watch?v=w463Qj7inZQ?t=313,iTrain Hockey,313.24,332.88,The focus is on quickly transitioning from a stop to accelerating backwards using effective backward crossovers. Emphasize maximizing crossover repetitions on one side to boost speed quickly.,"['Start from a stop and transition quickly into backward skating.', 'Use backward crossovers to accelerate quickly.', 'Maximize crossovers on one side (e.g., left leg) to enhance speed.']",A player accelerating from a stop using a series of quick backward crossovers on the left side.,"['Backward Crossovers', 'Acceleration']",,Intermediate,Drill Explanation,Intermediate Players,Backward Transition and Speed,19.64,"from zero to a hundred as fast as they can from starting from a stop position right into backwards crossovers. So the quickest way for us to accelerate skating backwards is to do as many crossovers as we can and max them out almost on one side of our body. So if I showed on my left leg, I'm going to get as many left leg backwards crossovers."
14,iTrain Hockey Transitional Skating Training Intensive,https://www.youtube.com/watch?v=w463Qj7inZQ?t=339,iTrain Hockey,339.92,371.32,"The segment focuses on mastering 'cross-be edges,' emphasizing smooth transitions between forward and backward skating using inside edges.","['Practice transitions smoothly from forwards to backwards skating and vice versa.', 'Focus on using inside edges during these transitions.', 'Utilize heel and toe edges for efficient push-offs.', 'Start with feet positioned such that toes are pointed outward.']","A player demonstrating forward to backward skating transitions, highlighting the use of inside edges.","['Transitional Skating', 'Edge Work']",,Intermediate,Drill Explanation,Intermediate Skater,Skating Transitions,31.4,"Okay, so this one inside edges, we call it cross-be edges, and I train hockey. When we're doing these edges, we're focusing on the transition from forwards to backwards and from backwards to forwards. So essentially, all I'm doing is this, pushing off on my heel edge, pushing off a toe edge skating backwards. To break this down, I always tell the kids, just start with your feet where your toes are spreading off the directions."
15,iTrain Hockey Transitional Skating Training Intensive,https://www.youtube.com/watch?v=w463Qj7inZQ?t=371,iTrain Hockey,371.32,395.12,Focus on keeping the body moving towards the puck with effective transitional skating. Avoid pointing toes in the same direction; angle them to maintain control and directionality.,"['Approach the puck with your whole body.', 'Keep body and knees moving towards the puck.', 'Avoid pointing toes only forwards or backwards; maintain a proper angle for control.']",Show a player demonstrating proper toe positioning while transitioning back and forth on the ice.,"['Transitional Skating', 'Body Positioning', 'Footwork']",,Intermediate,Drill Explanation,Intermediate Player,Transitional Skating,23.8,"And as if you're gravitating towards the puck, don't stand here, but actually bring your knees towards it, bring your whole body actually gravitating towards it. But essentially, you're just bouncing back and forth, forwards and backwards, forwards and backwards. The main common mistake that players make is they point their toes in the same direction, forwards, forwards, backwards, so keep the toes sort of like this, focusing on the direction."
16,iTrain Hockey Transitional Skating Training Intensive,https://www.youtube.com/watch?v=w463Qj7inZQ?t=395,iTrain Hockey,395.12,419.12,The coach instructs players to work on transitional skating by transferring weight onto edges and maintaining balance through heel-to-toe transitions while keeping feet on the ice.,"['Bounce slightly to prepare for weight transfer.', 'Transfer weight onto the skate edges.', 'Push into the heel, then onto the toe.', 'Keep feet on the ice for smooth transitions.']","Show a player gliding on the ice, transferring weight from heel to toe with a focus on edge control and balance.","['Transitional Skating', 'Edge Work', 'Balance']",,Intermediate,Drill Explanation,Intermediate Players,Transitional Skating,24.0,"Then I get them just to sort of bounce, and then the next thing I tell them to do is actually transfer their weight and push into the edges, and then find the heel, push on the toe, and then if they can, I actually keep your feet on the ice as the final stage. This is a nice transition. See how much I've sort of chopped them up the ice."
17,iTrain Hockey Transitional Skating Training Intensive,https://www.youtube.com/watch?v=w463Qj7inZQ?t=419,iTrain Hockey,419.12,439.04,The video focuses on transitional skating and emphasizes mastery of edge control. The instructor highlights observing players' proficiency on different edges and suggests breaking down the skills to improve balance on both inside and outside edges.,"['Focus on mastering edge control.', 'Observe proficiency on inside and outside edges.', 'Break down skills for weaker edges.', 'Ensure heels touch to balance during drills.']","Illustrate players focusing on edge control during skating drills, highlighting the position of their heels.","['Edge Control', 'Transitional Skating', 'Balance']",,Intermediate,Drill Explanation,,Transitional Skating,19.92,"That's exactly what it should look like around each of the players. But again, to break this shrill down, sometimes if I feel like if I see that the kids are really good on one edge and not so much on the other, then I'll just have them break it down. So the first one is an inside edge, you've got to make a fly, where your heels touch,"
18,iTrain Hockey Transitional Skating Training Intensive,https://www.youtube.com/watch?v=w463Qj7inZQ?t=439,iTrain Hockey,439.04,464.2,This segment focuses on teaching players how to execute proper transitional skating by coordinating the toe and heel movements. Emphasis is placed on ankle flexibility and pushing techniques.,"['Ensure toes are together before pushing off.', 'Focus on curling the toe in with ankle flexibility.', 'Push into the heel for the first stride.', 'Lift the heel and curl it on subsequent pushes.']","Demonstrate a player starting with toes together, pushing off, and transitioning by curling toes and heels while skating.","['Transitional Skating', 'Edge Work']",,Intermediate,Drill Explanation,Intermediate Players,Transitional Skating,25.16,"and then by the time they've done their toes are touched, they actually have to curl their toe in and have some ankle flexibility. But they're pushing into the heel. It's pushing into the first push, and then the next time I get them to do it, they'll start with their toes together, push off the toe, and then actually curl their heel in. Most times when I'm teaching kids, they don't actually lift up their heel, they don't"
19,iTrain Hockey Transitional Skating Training Intensive,https://www.youtube.com/watch?v=w463Qj7inZQ?t=464,iTrain Hockey,464.2,492.2,"The segment focuses on a skating technique where players should emphasize pronating into the toe and lifting the heel during transitions. The key is to have the toes as the primary contact point on the ice, allowing for effective heel-toe pushes in skating maneuvers.","['Pronate into the toe while skating.', 'Lift up the heel so only the toe touches the ice.', 'Bring heels together during the motion.', 'Practice heel-toe push transitions.']",Player demonstrating a transition skate with focus on toe touching the ice and alternating heel-toe pushes.,"['Transitional Skating', 'Balance']",,Intermediate,Drill Explanation,Intermediate Players,Transitional Skating,28.0,"actually pronate into the toe. So I always tell them pronate into the toe, and then lift up the heel, I lift it up all the way. So literally the only thing touching the ice is actually the toe. And then your heels come together. So if you put your heels down, you can do this. And then maybe you've got some little pull, and then you can do almost nearly the exact same time, heel then toe push."
20,iTrain Hockey Transitional Skating Training Intensive,https://www.youtube.com/watch?v=w463Qj7inZQ?t=492,iTrain Hockey,492.2,516.4,"The drill focuses on performing neutral zone pivots around a puck or pylon, emphasizing smooth transitions between forward and backward skating using crossovers.","['Focus on smooth transitions from forwards to backwards skating.', 'Perform five strides to reach the pivot point.', 'Execute five backwards crossovers on the same leg after stopping.']","Skater gliding up to a red line, pivoting around a puck, then demonstrating forward to backward crossovers.","['Neutral Zone Pivot', 'Crossover Skating', 'Forward to Backward Transition']",,Intermediate,Drill Explanation,Intermediate Players,Transitional Skating,24.2,"So with the next drill, neutral zone pivot, we're just going around a puck or a pylon. I'm going to start with the blue, pivot at the red line, around the puck. And the main thing that we want to focus on is that same sort of stop and start forwards to backwards crossover that we did before. It takes about five strides to get there. After you stop, it takes about five backwards crossovers all on the same leg."
21,iTrain Hockey Transitional Skating Training Intensive,https://www.youtube.com/watch?v=w463Qj7inZQ?t=516,iTrain Hockey,516.4,543.8000000000001,"This segment focuses on improving transitional skating by practicing backward crossovers. The drill emphasizes maintaining a wide stance, stepping in accurately, and exiting the pivot smoothly along the same line.","['Perform five backward crossovers on the stopping leg.', 'Ensure wide stepping during crossovers.', 'Maintain a straight and consistent line during pivots.']","An athlete performing backward crossovers and pivoting, maintaining a wide stance and straight line.","['Transitional Skating', 'Backward Crossovers']",,Intermediate,Drill Explanation,Intermediate Player,Transitional Skating,27.4,"So if I stop on my right leg, then I'm going to do five backwards crossovers on my right leg. So with this part of the drill, our main focus is we want them. We're going to want them stepping in and going super wide. We want them going in nice and straight and then coming out. We want them actually coming out of the pivot with the exact, find the exact same line as they came in on."
22,iTrain Hockey Transitional Skating Training Intensive,https://www.youtube.com/watch?v=w463Qj7inZQ?t=543,iTrain Hockey,543.8000000000001,566.08,"The video emphasizes tight pivots during transitional skating to maintain speed and control, simulating game situations. It also highlights the importance of powerful stops, which create a lot of snow and noise, indicating effective technique.","['Aim for tight pivots to accelerate quickly out of turns.', 'Imagine playing one-on-one to improve shift effectiveness.', 'Execute loud and aggressive stops to maximize control.']","Show a player transitioning quickly from pivot to straight-line acceleration, followed by a powerful stop with a spray of snow.","['Transitional Skating', 'Stopping', 'Pivots']",,Intermediate,Drill Explanation,Intermediate Players,Transitional Skating,22.28,"A lot of players will go in and then they'll come out really, really wide. And we actually want them just to accelerate out of the pivot as if they're playing like a one on one against someone. And the other main focus is when I stop, watch how much like, watch how much snow I bring up off the ice, it should be a really loud, really aggressive stop. So listen to my stop."
23,iTrain Hockey Transitional Skating Training Intensive,https://www.youtube.com/watch?v=w463Qj7inZQ?t=566,iTrain Hockey,566.08,589.36,The drill focuses on transitioning from backward to forward skating using crossovers and the T-push technique for efficient movement.,"['Use backward crossovers to build speed for the transition.', 'Focus on a smooth pivot from backward to forward skating.', 'Execute a powerful T-push by pushing hard with the back foot.']",Show a player smoothly transitioning from backward to forward skating with clear crossovers and a strong T-push.,"['Backward Crossovers', 'Pivoting', 'T-Push']",,Intermediate,Drill Explanation,Intermediate Skaters,Transitional Skating,23.28,"So next drill, we're just alternating it. Instead of going forwards to backwards, we're going backwards to forwards. We want to step in with as many backwards crossovers as we can to propel ourselves into the pivot. And main focus is to open up, set up for your T push. T push is, you're pushing as hard as you can on the back foot and then striding onto your front."
24,iTrain Hockey Transitional Skating Training Intensive,https://www.youtube.com/watch?v=w463Qj7inZQ?t=589,iTrain Hockey,589.36,607.6800000000001,"The segment focuses on transitioning out of pivots using forward crossovers effectively, emphasizing continuous motion without unnecessary pauses or steps.","['Focus on using forward crossovers to come out of a pivot.', 'Avoid pausing between transitions to maintain speed and fluidity.', 'Ensure you push rather than simply stepping to generate more power.']","Illustrate a player coming out of a pivot using a fluid forward crossover, maintaining motion without pauses.","['Forward Crossover', 'Pivot']",['All positions'],Intermediate,Drill Explanation,Intermediate Player,Transitional Skating,18.32,"And then the next thing we want to focus on is coming out of the pivot. We want to come out with a forward crossover as well. Most players, mistakenly, they'll come in, they'll do a cross, they'll pause, then they'll kind of instead of push, they'll just step. And then same sort of thing they pause about here and then they step back to forwards."
