title,image_url,video_url,source,category,author,summary,instructions,teaching_points,variations,tags,classified,position,starting_zone,ending_zone,situation,hockey_skills,complexity
Breakaway Backcheck With 1 on 1 Variation,https://www.files.icehockeysystems.com/files/drills/drill-maker-2543886-0-1693853509.png,https://vimeo.com/851117695,IHS,,Mark Zarbo Hockey,The video above will start with the breakaway backcheck drill and then will show how the drill can be modified to be a 1 on 1 with a backchecker (at the 1 minute 20 second mark).,Players are split into 2 lines. Offensive line (with pucks) is near the wall and ahead of the blue line. The defensive line starts more toward the middle and behind the blue line. The idea is the offensive player has a step but the defensive player has the angle (closer/more direct line to the net). When coach says go it is a race. The offensive player is trying to get to the net while the defensive player is trying to cut them off. Play the puck out.,[],"['This drill can start from anywhere on the ice in this same format of giving the offensive player a step but defensive player the angle. Scenario outlined above is a back check type situation. This drill could also be setup coming out of the corner or maybe a shorter distance like the near blue line, instead of far blue line. Rules: At first\xa0I usually do not allow offensive player to use an escape turn to protect the puck. It is either gain body position or lose the puck. I want them to really have to work on gaining body position and get to the net versus a turn to evade pressure. After a time I usually then will say turns are allowed but should only be used if the defender was able to gain position on you. A turn should should not be option #1. Option#1 should be use your play in contact skills, cut the defender off and gain the net.', 'Second video example: Set up the drill but include a defenseman so it is a 1 on 1 with a backchecker. The forward needs to cut the backchecker off and work to gain position on the 1 on 1.']","['1 on 1', 'Puck Protection', '2 on 1', 'Angling', 'Backchecking', 'Battle Drills', 'Checking', 'Conditioning', 'Coverage']",True,"['Forward', 'Defence']",Neutral Zone,Offensive Zone,"['Breakout', 'Defensive Play']","['Angling', 'Backcheck']",Intermediate
4 on 2 Power Play Game,https://www.files.icehockeysystems.com/files/drills/drill-maker-918371-0-1677160514.png,https://vimeo.com/671955442,IHS,,Kendall Coyne Schofield,"DescriptionThis is a great Power Play game fromKendall Coyne Schofieldthat encourages players to think and create movement in their zone as they are attacking.  12 players and 2 goalies are active in this setup that works on puck movement, creativity and goal scoring.",,[],[],"['Penalty Kill', 'Power Play', 'Puck Control', 'Puck Handling', 'Shooting', 'Skill Development', 'Offensive', 'Small Area Games', 'Third Ice Stations', 'Offensive Zone', 'Half Ice', 'Coverage', 'Down Low']",True,"['Forward', 'Defence', 'Goalie']",Offensive Zone,Offensive Zone,"['Power Play', 'Small Area Game']","['Shooting', 'Puck Handling', 'Skill Development']",Intermediate
Red Wing 2 V 1 With Backchecker,https://www.files.icehockeysystems.com/files/drills/drill-maker-2051981-0-1695132558.png,https://vimeo.com/784994856,IHS,,Brock University,"Red Wing 2 V 1 With Backchecker fromTJ Manastersky, the Head Coach ofBrock University, is a drill that practices 2 v 1 rushes with pressure from a backchecker.","2 offensive players line up on the hashmarks. The defender is at the top of the circle, and the backchecker is at the bottom of the circle. On the whistle, both sides start a 2 v 1 with a backchecker. Stay on your side of the ice until center ice red line. Drill is continuous.","['Defense: D and backchecking forward need to communicate.', 'Forwards: Get up ice quickly and look at opportunity to shoot quick after a pass.']",[],"['Skating', 'Overspeed', 'Offensive', 'Transition', '2 on 1', '2 on 2', 'Backchecking', 'Conditioning', 'Coverage', 'Full Ice', 'Gap']",True,"['Forward', 'Defence']",Neutral Zone,Neutral Zone,['Transition'],"['Skating', 'Communication']",Intermediate
Trucks & Trailers Warm-Up,https://www.files.icehockeysystems.com/files/drills/drill-maker-2147761-0-1675179219.png,https://vimeo.com/794509709,IHS,,Ice Hockey Systems,"The Trucks & Trailers Warm-Up drill can be utilized for all age & skill levels, and done in any area of the ice. For this example, we are using the neutral zone, but the activity can easily be set up in each zone, or a smaller area.","Set up a designated area that the trucks & trailers can skate. Can be any zone, or any marked off area of the ice. Rep # 1 - without pucks:On the first whistle, the trucks do their best to navigate the area and perform skilled movements (tight turns, pivots, forward & backwards skating, mohawk turns, etc).The trailers do their best to follow the exact movements of the trucks, while being aware of everyone on the ice.On the second whistle (Rep # 2), switch roles! The trucks become trailers and trailers become trucks. On the first whistle, the trucks do their best to navigate the area and perform skilled movements (tight turns, pivots, forward & backwards skating, mohawk turns, etc). The trailers do their best to follow the exact movements of the trucks, while being aware of everyone on the ice. On the second whistle (Rep # 2), switch roles! The trucks become trailers and trailers become trucks. Rep # 2 - with pucks:Same as above, but the truck & trailer both have pucks. Same as above, but the truck & trailer both have pucks.","['KEEP YOUR HEAD UP! All players need to keep their heads up and be aware of their surroundings.', ""Trucks, work on skilled moves. Don't just skate and turn. Throw in some fakes and fun skill moves that the trailer must try to mimic.""]","['Can be set up in different areas of the ice (the smaller the space the more challenging it is)', 'Coaches can shout out moves or skills that the trucks must perform, and the trailers must follow.']","['Skating', 'Puck Control', 'Puck Handling', 'Stations', 'Stickhandling', 'Warm Up', 'Neutral Zone', 'Agility']",True,"['Forward', 'Defence']",Neutral Zone,Neutral Zone,[],"['Skating', 'Stickhandling']",Intermediate
Triangle Scoring Game,https://www.files.icehockeysystems.com/files/drills/drill-maker-919651-0-1686947811.png,https://vimeo.com/663530508,IHS,,Kendall Coyne Schofield,Description,,[],[],"['Passing', 'Power Play', 'Puck Handling', 'Shooting', 'Skill Development', 'Offensive', 'Small Area Games', 'Stations', 'Third Ice Stations', 'Offensive Zone', '3 on 1', 'Half Ice']",True,"['Forward', 'Defence']",Offensive Zone,Offensive Zone,"['Power Play', 'Small Area Game']","['Passing', 'Shooting', 'Stickhandling']",Intermediate
Double Goals Game - Royal Road,https://www.files.icehockeysystems.com/files/drills/drill-maker-1650886-0-1667397029.png,https://vimeo.com/765828854,IHS,,Ice Hockey Systems,"Double Goals Game - Royal Road is a fun and competitive 3 vs. 3 small area game that allows players to score goals by passing through the gates, or scoring on a goalie. The gates in this version are set up in the ""Royal Road,"" the area in the middle of the ice in front of the net. This setup allows for players to shoot quickly after a pass and go for 2 point plays!","Set up two nets in a zone (as pictured in the diagram). Set up two ""gates"" in the royal road (the middle of the ice as pictured in the diagram) with cones or tires. Split up the teams and play 3 vs. 3 with 2 goalies. The game can be modified to be 2v2, 3v3, or 4v4. Keep score! Teams can score 1 point if they pass through a gate, and 1 point if they score a goal. Encourage 2 point plays, which would be a pass through the gate, followed by a quick shot on net. Cheer! Players at the blueline should cheer on their teammates and help keep score.","['Keep Your Head Up: This game is all about awareness. The offense should look to score in different ways and the defense needs to be aware of the gates in the royal road.', ""Don't Cheat:Defense should not stand right in the middle of the gate, and goalies should not only look for the pass to come. If the defense or goalies are cheating to block a pass, the player with the puck should fire a shot on net!"", 'Be Deceptive: Players with the puck on a rush should use deception to keep the defense and goalies guessing if they will pass or shoot.', 'Communicate With Your Teammates: This is a fast-paced game and important for teammates to communicate with each other.', 'Jump To Space: Offensive players need to work on jumping to open ice to be a passing or shooting option\xa0for their teammates.', 'Keep Stick On Ice: Defense can block passes and angle with their stick on the ice, while offensive players can give teammates a target to pass to.']","['Game can be setup to be 2v2, 3v3, 4v4 for cross-ice. Can also modify this to be a full 5 v 5 ice game.', 'Can give different values for the goals (passing through a gate, skating through a gate, and scoring a goal are all ways to score points). For example you could give 1 point for a pass through a gate and 2 points for a goal.', 'Can make the gates larger for beginner players and smaller for higher skilled players.', 'Can use washable markers as gate markers on the ice if you do not want the tires or\xa0cones getting in the way.', 'Can place the gates in different areas of the zone. ViewDouble Goals Gamewith the gates in the middle of the zone.']","['Passing', 'Puck Control', 'Shooting', 'Offensive', 'Small Area Games', '3 on 3', 'Battle Drills', 'Half Ice', 'Coverage', 'Defensive']",True,"['Forward', 'Defence', 'Goalie']",Unknown,Unknown,['Small Area Game'],"['Passing', 'Shooting', 'Puck Control', 'Communication']",Intermediate
Yellow Attack Timing - V1,https://www.files.icehockeysystems.com/files/drills/drill-maker-1552236-0-1666707984.png,https://vimeo.com/761473317,IHS,,Newedge Hockey,"Yellow Attack Timing - V1 fromRob Sedia of NewEdge Hockeyhelps players work on retrievals, passing, timing, communication, and quick release shots. The reason ""Yellow Attack"" is in the name of the drill, is to reinforce the concept that players should attack the puck along the yellow bumper of the boards.","Place a net (or a stationary defender) just below the hashmarks in front of the net. Set up one player next to the net, as pictured in the diagram. Players line up at the hashmarks against the boards. On the whistle, Player 1, chips the puck into the corner for Player 2 to retrieve. Player 2 shoulder checks, gathers the puck, and looks to pass the puck to Player 1. Player 1 times the play, and can jump in front of the net, or behind the net to get a quick shot on goal. Player 1 now goes behind the net to get ready for the next rep. Player 2 goes to the back of the line. Note: adding the additional pad on the far side of the net (that is pictured in the diagram) makes the player practice passing & receiving passes in a tighter space. Coaches can use any object, or can exchange any object for a static player or coach.","['The player retrieving the puck should shoulder check, and come out of the corner with their head up.', 'The player jumping to the slot for a shot, should time the play and communicate.', 'Both players can practice deception, to create additional time and space for themselves.']","['Can exchange the net in the slot for a static defender that can only move their stick. If the static defender is stopping the puck too often you can have them flip their stick.', 'Can add light pressure to the player that is retrieving the puck.', 'Can add a goalie.', 'Can set up in other areas of the ice. ViewYellow Attack V2to see this setup where players retrieve the puck along the boards on\xa0the half wall.']","['Passing', 'Puck Control', 'Shooting', 'Skill Development', 'Offensive', 'Stations', 'Quarter Ice Station', 'Half Ice']",True,['Forward'],Offensive Zone,Offensive Zone,"['Small Area Game', 'Offensive Play', 'Timing', 'Communication']","['Passing', 'Shooting', 'Timing', 'Communication']",Intermediate
World Passing & Stickhandling Warm-Up,https://www.files.icehockeysystems.com/files/drills/drill-maker-1520426-0-1665606126.png,https://vimeo.com/759641015,IHS,,Newedge Hockey,"The World Passing & Stickhandling Warm-Up fromRob Sedia of NewEdge Hockeyis a great way to help players warm-up their hands, edges and vision before jumping into a practice or game.","4-6 players around a circle with 2 pucks On the whistle, 2 players start stickhandling around the circle. Players should be creative with their moves, and keep their head up at all times to make sure they do not run into the other players inside the circle. Encourage edgework, escapes, deception, and more. After about 20-30 seconds (or on the coaches whistle) the player in the circle passes the puck to someone on the outside. They jump in the circle, while the previous stickhandlers jump to the circle.","['Players inside the circle: keep\xa0head up, and practice escapes, deception, weigh shifts,\xa0and more.', 'Players outside the circle: have their sticks on the ice ready for a pass. Cheer for a teammate that makes a great move or pass.']","['Can add more players inside the circle and around the circle. The more players inside the circle\xa0the more challenging it will get!', 'Can add light pressure from a coach or player (as shown in the video).', 'Can add a defender that is trying to take the puck away inside the circle.', 'Can tell players to make passes across the circle instead of drop passes.']","['Passing', 'Pre Game', 'Puck Control', 'Puck Handling', 'Puck Protection', 'Stations', 'Stickhandling', 'Warm Up', 'Agility']",True,"['Forward', 'Defence']",Unknown,Unknown,[],"['Skating', 'Passing', 'Stickhandling']",Intermediate
4 Corner Possession Game - Defensive Advantage,https://www.files.icehockeysystems.com/files/drills/drill-maker-1401661-0-1676347399.png,https://vimeo.com/753038756,IHS,,Ice Hockey Systems,"The 4 Corner Possession Game (with Defensive Advantage) is a fun small area game that encourages players to use their teammates in the corners for support. The setup of this game allows for a lot of creativity. Offensive players should focus on give & goes, while the defending team should focus on angling techniques, and keep their sticks on the ice to block passing lanes.","Two nets back to back in the center of the zone (as shown in the diagram) 2 v 2 and each team has 2 extra support players in their defensive end The support players must stay in their boundary (can be cones or tires) Coach dumps puck in to start Change players every 30 - 45 seconds - the 2 v 2 players can rotate to become support players, then rotate out Keep score!","['Goalies- be aware of the puck at all times, especially with the reversed nets! Practice following the puck when it is in the other zone and be aware of where all of the players are.', 'Defense- keep sticks on the ice, and use good angles to block passing lanes & opportunities', 'Forwards- use your support players and work on give & goes. Utilize the nets in the middle of the ice as areas you can hide behind and then jump to space.', 'Everyone- communicate! This is a fast pace game, so make sure to communicate with your teammates.']",[],"['Passing', 'Puck Control', 'Re-Group', 'Small Area Games', 'Transition', '2 on 2', 'Half Ice']",True,"['Forward', 'Defence']",Unknown,Unknown,"['Small Area Game', 'Transition']","['Passing', 'Stickhandling', 'Positioning', 'Angling', 'Communication']",Intermediate
Bourque 3 on 3 Game,https://www.files.icehockeysystems.com/files/styles/medium/public/drills/drill-maker-7183266-0-1750945059.png?itok=Vx3lkDiP,https://vimeo.com/743275226,IHS,,Ice Hockey Systems,"The Bourque 3 on 3 cross ice game is similar to theGretzky Gamebut now the designated passers behind the nets are referred to as ""Bourque."" The ""Bourque"" is behind their own goal line and helps to initiate breakout passes to their teammates. It is important that players regroup to support their ""Bourque.""",,"['Have the ""Bourque"" work on a good first pass.', 'Use ""false Information / deception"" (fakes & looking off the pass) to get their players open.', 'Players need to skate back to support their ""Bourque.""', 'Fill three lanes and skate to open ice.']",[],"['Passing', 'Re-Group', 'Small Area Games', 'Transition', 'Tryout', 'Breakouts', '3 on 3', 'Battle Drills', 'Half Ice']",True,"['Forward', 'Defence']",Defensive Zone,Offensive Zone,"['Small Area Game', 'Transition']","['Passing', 'Skating']",Intermediate
2 V 1 Quick Strike Game,https://www.files.icehockeysystems.com/files/drills/drill-maker-919146-1643655003.png,https://vimeo.com/662387392,IHS,,Kendall Coyne Schofield,Description,,[],[],"['Passing', 'Puck Control', 'Puck Handling', 'Shooting', 'Skill Development', 'Offensive', 'Small Area Games', 'Third Ice Stations', 'Transition', 'Offensive Zone', '2 on 1', 'Half Ice', 'Coverage', 'Defensive', 'Defensive Zone']",True,"['Forward', 'Defence']",Offensive Zone,Offensive Zone,"['Small Area Game', 'Transition']","['Passing', 'Shooting', 'Stickhandling']",Intermediate
Special Teams Entry Game,https://www.files.icehockeysystems.com/files/drills/drill-maker-922471-0-1674530712.png,https://vimeo.com/664430784,IHS,,Union Hockey,"The Special Teams Entry Game from CoachTJ Manasterskyis designed to increase the repetitions of the entry situation in special teams, both for the power play, and penalty kill teams.","A coach has pucks in the defensive zone. 4 Penalty Killers are in the neutral zone. 5 players are on the Power Play are spread out and stationary on the top of their defensive zone circles. Coach starts the drill by giving the puck to one of the players on the Power Play. This begins the 5 on 4. The Penalty Kill works to ice the puck while the Power Play works to gain possession and score a goal. After the the rep plays out for a little while, the coach blows the whistle for a second time, and the Power Play returns to their own end to get a second puck from the coach and attempt to score another goal. Keep Score! Coaches can make the game more engaging for players by keeping score. You can give the defensive team a point for clearing the puck or forcing a chip / dump. The Power Play can gain a point by gaining possession of the line and/ or scoring a goal.","['Penalty Kill should always keep their sticks on the ice and work to force chips and dumps.', 'The Power Play is at a disadvantage because they do not have a lot of speed, so they must work to be creative to generate space and gain the offensive blue line.']",[],"['Penalty Kill', 'Zone Entry', 'Passing', 'Power Play', 'Offensive', 'Small Area Games', 'Transition', 'Neutral Zone', 'Angling', 'Coverage', 'Defensive', 'Defensive Zone', 'Forechecking']",True,"['Forward', 'Defence', 'Goalie']",Defensive Zone,Offensive Zone,"['Zone Entry', 'Power Play', 'Penalty Kill', 'Transition', 'Small Area Game']","['Passing', 'Zone Entry', 'Angling', 'Forecheck']",Intermediate
Jets 2 v 2 Drill,https://www.files.icehockeysystems.com/files/drills/drill-maker-922446-0-1674530923.png,https://vimeo.com/664410988,IHS,,Union Hockey,"The Jets 2 V 2 Drill fromTJ Manasterskywas shared with the IHS Community while he was an Assistant Coach atUnion College. TJ is the Current Head Coach atBrock Universityin St. Catharines, Ontario.","Start with 2 defenseman at the top of the circles. The rest of the defenseman are along the boards at center ice. Forwards are on all 4 blue lines with pucks. On the first whistle, the far forwards exchange lanes (and can exchange a puck) before they attack. They must attack from outside of the neutral zone face off dots. The defenders jump up the to neutral zone and attempt to gap up properly and handle the excess speed. The 2 v 2 plays out until the coach blows a second whistle. On the second whistle, the first set of forwards is done, the second set of forwards on the near blue line start and race around the far face-off dots before they begin their attack on the defenders. The defenders that just finished the original 2 v 2 race to gap up against the second set of forwards.","['Defenders need to be aware of the speed from the forwards and need to work to create a proper gap while matching their speed.', 'Coaches can have defenders work on their angling skills on the second 2 v 2 rep.', 'Forwards should practice fundaments that they would use on a 2 on 2 rush. They might consider driving the net, utilizing cut backs or change of speed to create additional space on the rush.']",[],"['Zone Entry', 'Skating', 'Overspeed', 'Passing', 'Offensive', '2 on 2', 'Angling', 'Backwards Skating', 'Coverage', 'Defensive', 'Full Ice', 'Gap']",True,"['Defence', 'Forward']",Neutral Zone,Neutral Zone,"['Zone Entry', 'Transition']","['Skating', 'Passing', 'Angling']",Intermediate
Billy Purcell Breakout,https://www.files.icehockeysystems.com/files/drills/drill-maker-922436-0-1674530784.png,https://vimeo.com/664426322,IHS,,Union Hockey,"The Billy Purcell Breakout Drill from CoachTJ Manasterskyworks on fundamentals of breakouts, such as passing, support, communication, and it leads into zone entry concepts.","Forwards are at center ice. Defenders are at opposite corners. Coaches are set up in each zone. On the whistle, the first D will skate and pivot forwards to backwards around the first dot. The second D chips a puck behind the goal line for the first D to pick up and wheel around the net. The forwards at center ice come down into their defensive zone and help with the breakout. One forward goes to the boards as a breakout option and the other forward acts as a center and swings low in the middle of the ice for support. The coach in the zone will take one of the forward options away. This makes the D keep their head up so they can select the appropriate passing option. After the D makes the pass, this begins a 3 on 0 rush. Coaches can be an obstacle in the offensive zone and teams can work on various zone entry options before they attack the net.","['Defensemen need to pick their head up coming around the net to be aware of the opposition and where their forwards are.', 'Forwards need to work hard to get back and support their defenseman.']",[],"['Zone Entry', 'Passing', 'Offensive', 'Breakouts', 'Full Ice']",True,"['Defence', 'Forward']",Defensive Zone,Offensive Zone,"['Zone Entry', 'Offensive Play']","['Passing', 'Communication']",Intermediate
"1 v 1, to 2 v 2 to 3 v 3",https://www.files.icehockeysystems.com/files/drills/drill-maker-920856-1642813365.png,https://vimeo.com/663339728,IHS,,Kendall Coyne Schofield,Description,,[],[],"['1 on 1', 'Skating', 'Overspeed', 'Puck Control', 'Puck Handling', 'Shooting', 'Skill Development', 'Offensive', 'Small Area Games', 'Third Ice Stations', '2 on 2', '3 on 3', 'Backchecking', 'Battle Drills', 'Half Ice', 'Conditioning', 'Explosion']",True,"['Forward', 'Defence']",Unknown,Unknown,['Small Area Game'],"['Skating', 'Passing', 'Shooting', 'Stickhandling']",Intermediate
Sticks In Lanes Game,https://www.files.icehockeysystems.com/files/drills/drill-maker-678516-1650553057.png,https://vimeo.com/639683746,IHS,,Topher Scott,"The Sticks In Lanes GamefromTopher Scottof The Hockey Think Tank is a great small area game to help the offense practice passing in the offensive zone while the defense works to block passing lanes by keeping their sticks on the ice. This is also a great drill for practicing your Power Play & Penalty Kill. This game is a 6 vs. 2 but can be set up to be more challenging for the offense by making it 4 vs. 2, or 6 vs. 3.","KEEP SCORE(as you can see from the video, this can become a very fun and competitive drill). The playing area is highlighted in yellow in the diagram above. Have 6 offensive players set up as shown in the diagram. They can move slightly but can not skate around and must stay in their designated area. 2 Defenders will defend the middle of the ice. On the whistle, the offensive team is trying to score. They must pass the puck through the middle of the ice 2 or more times before they can shoot. The defenders work to break up the play. Switch teams after each rep and let forwards play defense and defense play offense.","['Use deception (look or fake passing one way and pass the other way) to create openings.', 'Think about where you pass before the puck comes to you.', 'Shoot quickly if you have an opening!']","['Can make this drill harder for the offense by making it a4 vs. 2 (view example)or a6 vs. 3 (view example).', 'Can make the playing space larger or smaller (the smaller it is, the harder it is).', 'Can require 3 (or more) passes through the royal road before a shot is allowed.', 'Use different point-scoring to make sure the game is exciting and competitive for the team. For example (2 points for a goal, 1 point for 2 consecutive defensive takeaways).']","['Penalty Kill', 'One Goalie', 'Passing', 'Power Play', 'Puck Control', 'Shooting', 'Offensive', 'Small Area Games', 'Offensive Zone', 'Half Ice', 'Coverage', 'Defensive']",True,"['Forward', 'Defence']",Offensive Zone,Offensive Zone,"['Small Area Game', 'Power Play', 'Penalty Kill']","['Passing', 'Shooting', 'Positioning', 'Communication']",Intermediate
Rondo Circle Passing to 2 on 1,https://www.files.icehockeysystems.com/files/drills/drill-maker-510556-1631363582.png,https://vimeo.com/601021977/625228a098,IHS,,Alyssa (Gagliardi) Sleasman,"The Rondo Circle Passing to 2 on 1 fromCoach Alyssa Gagliardiis a competitive activity that can be used to practice passing, overall awareness, and 2 on 1's. This game can also be modified to be set up in zone, if you only have access to half-ice (example at bottom of this page).","Players work together to pass the puck and play keep away from the two defenders in the middle. When the defenders steal the puck, it initiates a 2 on 1, where the 2 defenders now go on the offense and the player that created the turnover (either by a bad pass or fumbling a pass) becomes the defender on the 2 on 1. Quick thinking and reactions will help players be successful.","['Passing TeamPlan ahead! Look at where the defenders are and where the open space is even when you do not have the puck!Players without the puck should keep their stick on the ice and give their teammates a target to pass to.When playing keep away, the players that are passing should work on deception by using their body language (hands, eyes, and body) to trick the defender and make them think they will be passing somewhere else.', 'Plan ahead! Look at where the defenders are and where the open space is even when you do not have the puck!', 'Players without the puck should keep their stick on the ice and give their teammates a target to pass to.', 'When playing keep away, the players that are passing should work on deception by using their body language (hands, eyes, and body) to trick the defender and make them think they will be passing somewhere else.', 'Defending TeamKeep your stick on the ice to take away passing lanes.', 'Keep your stick on the ice to take away passing lanes.']","['Coaches can set this up in different areas of the ice.', 'Coaches can set this up with different numbers of players. For example, instead of six players passing (like the video), you can go down to 5, 4, or 3. You can also have 1 defender instead of 2.', 'If the forwards are struggling to complete passes, you can require one or both defenders flip their sticks over.', ""Can set this up as an in-zone game instead of center ice (view diagram below). You can set up 2 in-zone games and require players to pay attention to the other game if there are two simultaneous 2 on 1's.""]","['Passing', 'Puck Handling', 'Offensive', 'Small Area Games', 'Transition', 'Neutral Zone', '2 on 1']",True,"['Forward', 'Defence']",Neutral Zone,Neutral Zone,"['Small Area Game', 'Transition']","['Passing', 'Stickhandling']",Intermediate
NEHDA 2 Puck,https://www.files.icehockeysystems.com/files/drills/drill-maker-478776-0-1659616464.png,https://vimeo.com/591228040/1be9a1ed4b,IHS,,Newedge Hockey,"The NEHDA 2 Puck is an excellent drill fromNewEdge Hockeythat helps players practice passing, communication, edgework, deception, and more.","Place 2 pucks as shown in the video & diagram.Part 1 of Drill - Keep Toe Caps & Body Facing Up Ice: P1 receives a pass from P2 (player in the line), goes around a puck, passes to P2, receives a pass back & skates around the other puck before passing back to P2. P2 now jumps into the drill.Part 2 of Drill - Practice Escapes, Deception & Puck Protection: P1 receives a pass from P2 (player in the line), goes around a puck, uses deception to act like they are going to pass & skate up ice but quickly cuts back, performs a mohawk, goes around the puck and passes back to P2. P1 receives a pass back from P2 and P1 goes around the opposite puck, uses deception to act like they are going to pass & skate up ice but quickly cuts back, performs a mohawk, goes around the puck, and passes back to P2. P2 now jumps into the drill. Part 1 of Drill - Keep Toe Caps & Body Facing Up Ice: P1 receives a pass from P2 (player in the line), goes around a puck, passes to P2, receives a pass back & skates around the other puck before passing back to P2. P2 now jumps into the drill. Part 2 of Drill - Practice Escapes, Deception & Puck Protection: P1 receives a pass from P2 (player in the line), goes around a puck, uses deception to act like they are going to pass & skate up ice but quickly cuts back, performs a mohawk, goes around the puck and passes back to P2. P1 receives a pass back from P2 and P1 goes around the opposite puck, uses deception to act like they are going to pass & skate up ice but quickly cuts back, performs a mohawk, goes around the puck, and passes back to P2. P2 now jumps into the drill.","['Passing: Coaches should put a strong emphasis on passing quality and communication during this drill.', 'Movements: Lateral movements should be crisp and get the puck on your hip and get your eyes up quickly.', ""Deception: When in the deception version (Part 2 of the drill), really commit to the look-off, your opponent's stick tends to follow your head and eyes so make it really look like you are going to move the puck in one direction before you cut back."", 'Puck Protection: When protecting the puck, be sure to move the puck out in front of your belly when you mohawk, this keeps good distance between the attacker and the puck. Mohawking allows you to maintain speed yet still protect the puck.']",[],"['Passing', 'Puck Handling', 'Puck Protection', 'Skill Development', 'Transition', 'Half Ice', 'Defensive']",True,"['Forward', 'Defence']",Neutral Zone,Neutral Zone,['Transition'],"['Passing', 'Skating', 'Stickhandling', 'Communication']",Intermediate
Rondo Circle Passing Progression,https://www.files.icehockeysystems.com/files/drills/drill-maker-469726-1642018795.png,https://youtu.be/JW2BBDdR07I,IHS,,Alyssa (Gagliardi) Sleasman,"The Rondo Circle Passing Progression fromCoach Alyssa Gagliardiis a great activity that can be used as a passing warm-up, or as an activity to improve overall awareness and passing with your head up. Rondos are popular activities in soccer. Rondo games are similar to keep away, where a group of players work to keep possession of the puck / ball.",,"['When passing, players should keep their hands away from their body and chest so they can pull with their top hand and push with their bottom hand.', 'Players without the puck should keep their stick on the ice and give their teammates a target to pass to.', 'When playing keep away, the players that are passing should work on deception by using their body language (hands, eyes, and body) to trick the defender and make them think they will be passing somewhere else.']","['Coaches can set this up in different areas of the ice.', 'Coaches can do this rondo progression with 4 to 8 players.', 'Players can work on forehand, backhand, one-touch and sauce passes.']","['Passing', 'Pre Game', 'Skill Development', 'Warm Up', 'Half Ice']",True,"['Forward', 'Defence']",Unknown,Unknown,['Small Area Game'],"['Passing', 'Stickhandling']",Intermediate
Decision Time 2 on 1,https://www.files.icehockeysystems.com/files/drills/drill-maker-85871-0-1697224629.png,https://vimeo.com/308615040,IHS,,Ice Hockey Systems,"This drill works on decision making in a 2 on 1 situation. The drill is great for station based or ADM type practices as it requires only one quarter of the ice, but you can make it a half ice drill if you go out of both sides at the same time.",Players should make sharp turns so they are moving horizontally across the ice when making the drop pass. Drop pass should be to Player 2's forehand. Player 2 needs to have eyes on coach to read the situation. Make sure both players stop at net for rebound.,"['Players should make sharp turns so they are moving horizontally across the ice when making the drop pass.', ""Drop pass should be to Player 2's forehand."", 'Player 2 needs to have eyes on coach to read the situation.', 'Make sure both players stop at net for rebound.']","['Over 550 Animated Drills & Systems', 'Denis Savard Coaching Videos', 'Use Drill Lists to Organize Content', 'Create Your Own Practices', 'Share Practice Plans, Drills, and Systems', 'Mobile and Tablet Friendly', ""Print PDF's of Drills, Systems, and Practices"", 'Expert Coaching Advice', 'Pre-Planned Practices by Age Level', 'Motivational Techniques']","['Offensive', 'Stations', 'Quarter Ice Station', '2 on 1']",True,"['Forward', 'Defence']",Neutral Zone,Offensive Zone,['Offensive Play'],"['Skating', 'Passing']",Intermediate
Head Up Scan The Ice Warm-Up,https://www.files.icehockeysystems.com/files/drills/drill-maker-428511-0-1730400858.png,https://vimeo.com/1013720103?share=copy,IHS,,Dwayne Blais,The Head-Up Scan The Ice Warm-Up fromDwayne Blaisof the NSDA is a simple yet highly effective warm-up drill that is great for all age levels. The goal of this warm-up activity is to get players in the habit of keeping their head up while they stickhandle so they can look for open ice and evade obstacles.,"Can be set up to be full-ice (like it is shown in the video) or half-ice. On the whistle, all players skate in the same direction. On the next whistle, players check their shoulders and turn to go in the opposite direction. Coaches can add obstacles (cones, sticks, tires) that players must stickhandle around, and coaches can also be obstacles (like shown in the video).","['Players should practice keeping their head up!', 'Players must shoulder check and look over their shoulder to determine where the open ice is.', ""Coaches should encourage players to keep their head up as much as possible during practice. Players can't keep their head up in the game if they do not learn the skill at practice!""]",[],"['Puck Control', 'Puck Handling', 'Skating', 'Skill Development', 'Stickhandling', 'Warm Up']",True,"['Forward', 'Defence']",All Zones,All Zones,['Small Area Game'],"['Skating', 'Stickhandling']",Easy
